NO.,YEAR,TITLE,TV/TV Movie/Movie/mini series?,GENRE,RATING,FORMAT,RUN TIME (Min) or number of episodes
1,2012,Act of Valor,Movie,Action,R,DVD,110
2,2012,Alex Cross,Movie,Action/Thriller,PG-13,DVD,101
3,2012,The Amazing Spider-man,Movie,Superhero,PG-13,DVD,136
4,2014,The Amazing Spider-man 2,Movie,Superhero,PG-13,DVD,142
5,2004,Anchor Man,Movie,Comedy,PG-13,DVD,104
6,1978,Animal House,Movie,Romance/comedy,R,DVD,109
7,2012,Argo,Movie,Action/Thriller,R,DVD,130
8,2010,The A-Team,Movie,Action/Adventure/Comedy,PG-13,DVD,117
9,2001,Atlantis: The Lost Empire,Movie,Adventure/Sci-fi/Animation,PG,DVD,96
10,1997,Austin Powers: International Man of Mystery,Movie,Comedy/action/spoof,PG-13,DVD,89
11,1999,Austin Powers: The Spy Who Shagged Me,Movie,Comedy/action/spoof,PG-13,DVD,95
12,2002,Austin Powers in Goldmember,Movie,Comedy/action/spoof,PG-13,DVD,94
13,1985,Spys Like Us,Movie,Comedy/action/spoof,PG,DVD,102
14,2012,Avengers,Movie,Fantasy/Action,PG-13,DVD,143
15,2007,Balls of Fury,Movie,Sport/Action/Comedy,PG-13,DVD,90
16,2005,Batman Begins,Movie,Fantasy/Drama/Superhero,PG-13,DVD,140
17,2008,Batman - Dark Knight,Movie,Fantasy/Drama/Superhero,PG-13,DVD,152
18,2012,Batman - Dark Knight Rises,Movie,Fantasy/Drama/Superhero,PG-13,DVD,165
19,2007-2008,Big Bang Theory Season 1,TV ,Comedy,TV-PG,DVD,17
20,2008-2009,Big Bang Theory Season 2,TV ,Comedy,TV-PG,DVD,23
21,2009-2010,Big Bang Theory Season 3,TV ,Comedy,TV-PG,DVD,23
22,2010-2011,Big Bang Theory Season 4,TV ,Comedy,TV-PG,DVD,24
23,2011-2012,Big Bang Theory Season 5,TV ,Comedy,TV-PG,DVD,24
24,2012-2013,Big Bang Theory Season 6,TV ,Comedy,TV-PG,DVD,24
25,2013-2014,Big Bang Theory Season 7,TV ,Comedy,TV-PG,DVD,24
26,2001,Black Hawk Down,Movie,Drama/Action,R,DVD,144
27,2007,Blades of Glory,Movie,Comedy/Sport,PG-13,DVD,93
28,1974,Blazing Saddles,Movie,Comedy/Satire,R,DVD,95
29,2003,Blue Collar Comedy Tour,TV/Movie,Comedy,R,DVD,105
30,1980,Blues Brothers,Movie,Action/Comedy/Crime,R,DVD,133
31,1998,Blues Brothers 2000,Movie,Action/Comedy/Crime,PG-13,DVD,123
